(46,41,0.101085)
(1,36,0.903869)
(28,36,0.010555)
(33,18,0.064556)
(12,40,0.086519)
(24,12,0.181116)
(41,15,0.862456)
(9,38,0.146806)
(45,26,0.128058)
(31,17,0.900155)
(41,9,0.219457)
(15,34,0.522210)
(5,30,0.906945)
(27,1,0.553605)
(31,11,0.140730)
(0,2,0.015138)
(33,19,0.806861)
(17,11,0.522766)
(20,39,0.818291)
(31,37,0.576367)
(20,36,0.320172)
(18,46,0.571404)
(45,28,0.523810)
(15,25,0.333540)
(29,6,0.700325)
(1,15,0.008538)
(18,0,0.162890)
(19,11,0.953202)
(34,20,0.645558)
(27,15,0.867892)
(12,48,0.346993)
(2,42,0.787080)
(38,16,0.049075)
(14,44,0.701668)
(35,12,0.143154)
(0,41,0.525260)
(16,18,0.100849)
(44,43,0.836289)
(4,1,0.911657)
(2,44,0.328914)
(48,14,0.276198)
(43,34,0.187779)
(5,45,0.891811)
(0,15,0.665245)
(22,10,0.996302)
(30,7,0.984424)
(22,6,0.445990)
(9,3,0.317284)
(3,28,0.995814)
(19,18,0.994386)
(47,10,0.122101)
(9,47,0.291222)
(34,37,0.682712)
(30,37,0.105907)
(33,19,0.944617)
(20,5,0.593912)
(44,32,0.025564)
(40,45,0.357778)
(12,2,0.594356)
(20,8,0.103212)
(29,25,0.753348)
(26,28,0.767712)
(41,48,0.387136)
(32,44,0.003810)
(41,14,0.902994)
(22,36,0.556295)
(2,13,0.211489)
(2,41,0.511206)
(1,34,0.999795)
(23,9,0.614157)
(40,38,0.835564)
(39,8,0.856490)
(30,0,0.405851)
(20,33,0.310021)
(23,35,0.243394)
(16,26,0.754580)
(6,43,0.621698)
(33,13,0.987300)
(44,11,0.910681)
(32,26,0.828582)
(44,19,0.576281)
(39,16,0.746877)
(28,8,0.180242)
(48,38,0.712914)
(47,8,0.190420)
(48,26,0.363738)
(30,41,0.147290)
(22,41,0.807863)
(49,17,0.748939)
(13,35,0.435120)
(25,40,0.714693)
(2,36,0.908223)
(7,37,0.866599)
(6,14,0.107807)
(36,15,0.728375)
(43,41,0.178681)
(27,14,0.083001)
(18,46,0.982257)
(28,16,0.353010)
(3,17,0.198589)
(6,43,0.371614)
(32,28,0.041195)
(7,29,0.098170)
(29,5,0.048798)
(20,11,0.098080)
(18,20,0.700350)
(46,4,0.155079)
(4,37,0.663200)
(6,46,0.212958)
(5,18,0.328961)
(32,1,0.954133)
(45,3,0.917630)
(8,46,0.714056)
(19,2,0.837744)
(24,38,0.103337)
(4,49,0.178800)
(44,0,0.663517)
(22,46,0.181952)
(20,36,0.117825)
(11,38,0.285900)
(43,30,0.294806)
(37,40,0.877188)
(14,25,0.600605)
(31,24,0.187541)
(19,46,0.994756)
(42,30,0.444288)
(16,26,0.277748)
(21,45,0.583246)
(5,0,0.697628)
(29,46,0.309080)
(21,10,0.548700)
(10,40,0.694728)
(22,2,0.509088)
(17,46,0.243515)
(1,9,0.358263)
(11,18,0.346666)
(27,33,0.563193)
(47,3,0.123856)
(10,39,0.251617)
(38,42,0.544874)
(30,14,0.676113)
(24,48,0.805715)
(39,29,0.300952)
(13,29,0.163831)
(0,26,0.328300)
(33,34,0.824995)
(27,7,0.821134)
(31,30,0.018137)
(8,40,0.577339)
(18,23,0.094754)
(13,32,0.562738)
(27,47,0.345902)
(22,4,0.020412)
(2,31,0.242499)
(34,9,0.339459)
(39,27,0.973593)
(17,47,0.388423)
(9,39,0.482465)
(22,35,0.296952)
(49,1,0.681867)
(0,17,0.603800)
(37,42,0.167391)
(15,28,0.280111)
(33,22,0.541927)
(34,9,0.384015)
(20,15,0.414333)
(3,42,0.005836)
(38,22,0.241924)
(31,44,0.722854)
(31,16,0.449043)
(45,20,0.998308)
(30,48,0.672950)
(2,39,0.831459)
(4,13,0.563452)
(0,43,0.493812)
(34,10,0.294136)
(29,33,0.371185)
(6,34,0.830772)
(42,24,0.772132)
(16,26,0.046398)
(47,49,0.060290)
(37,24,0.972770)
(17,5,0.621548)
(29,4,0.834364)
(36,24,0.986503)
(18,31,0.023725)
(46,0,0.894482)
(16,5,0.846002)
(42,5,0.207495)
(34,32,0.685613)
(10,6,0.360795)
(41,45,0.229492)
(36,5,0.471277)
(14,34,0.519043)
(20,2,0.315802)
(3,8,0.896860)
(30,49,0.138571)
(2,42,0.364486)
(22,49,0.650006)
(7,30,0.473925)
(33,29,0.639175)
(7,31,0.638308)
(38,9,0.337597)
(46,42,0.666067)
(27,17,0.044354)
(40,36,0.398165)
(18,31,0.550745)
(12,9,0.559369)
(28,33,0.587291)
(0,7,0.322267)
(42,11,0.856720)
(11,42,0.626644)
(5,27,0.213632)
(2,33,0.997060)
(27,34,0.204864)
(1,15,0.457896)
(1,14,0.494145)
(40,4,0.157843)
(27,37,0.660452)
(47,1,0.484736)
(47,21,0.481542)
(42,38,0.776865)
(19,13,0.092473)
(10,6,0.218287)
(43,5,0.343473)
(17,9,0.143422)
(9,45,0.272356)
(21,32,0.742839)
(13,32,0.525547)
(46,14,0.091176)
(31,22,0.358894)
(27,5,0.632966)
(0,10,0.710887)
(14,26,0.322165)
(5,24,0.558476)
(41,30,0.776159)
(45,30,0.262034)
(26,40,0.699675)
(8,46,0.992378)
(33,4,0.268782)
(9,6,0.285486)
(44,39,0.956913)
(43,46,0.285482)
(21,47,0.574949)
(5,45,0.917140)
(5,31,0.618630)
(4,1,0.441046)
(42,15,0.369131)
(26,39,0.587763)
(23,47,0.576430)
